FID,Geocodigo,Nome,MoradDPPOColetTot,MoradDPPOEnterrPropTot,MoradDPPOOutroDestinoTot,MoradDPPOQueimPropTot,MoradDPPOTerrenBaldioTot,MoradDPPOTot,PercMoradDPPOColetTot,PercMoradDPPOEnterrPropTot,PercMoradDPPOOutroDestinoTot,PercMoradDPPOQueimPropTot,PercMoradDPPOTerrenBaldioTot
sidra_9541_DestLixo_uf_22_ptCentr.fid-703dc0a5_19186ad2326_-5293,11,Rondônia,1244845,22211,7880,294350,3390,1572676,79.15,1.41,0.5,18.72,0.22
sidra_9541_DestLixo_uf_22_ptCentr.fid-703dc0a5_19186ad2326_-5292,12,Acre,625792,6714,8909,169385,13648,824448,75.9,0.81,1.08,20.55,1.66
sidra_9541_DestLixo_uf_22_ptCentr.fid-703dc0a5_19186ad2326_-5291,13,Amazonas,3128151,24669,30537,690511,55501,3929369,79.61,0.63,0.78,17.57,1.41
sidra_9541_DestLixo_uf_22_ptCentr.fid-703dc0a5_19186ad2326_-5290,14,Roraima,483749,5382,5725,116155,11848,622859,77.67,0.86,0.92,18.65,1.9
sidra_9541_DestLixo_uf_22_ptCentr.fid-703dc0a5_19186ad2326_-528f,15,Pará,6140808,37434,29099,1813093,67656,8088090,75.92,0.46,0.36,22.42,0.84
sidra_9541_DestLixo_uf_22_ptCentr.fid-703dc0a5_19186ad2326_-528e,16,Amapá,659230,919,6445,58022,4737,729353,90.39,0.13,0.88,7.96,0.65
sidra_9541_DestLixo_uf_22_ptCentr.fid-703dc0a5_19186ad2326_-528d,17,Tocantins,1280913,10510,9321,196984,8409,1506137,85.05,0.7,0.62,13.08,0.56
sidra_9541_DestLixo_uf_22_ptCentr.fid-703dc0a5_19186ad2326_-528c,21,Maranhão,4721179,29872,26743,1848070,134868,6760732,69.83,0.44,0.4,27.34,1.99
sidra_9541_DestLixo_uf_22_ptCentr.fid-703dc0a5_19186ad2326_-528b,22,Piauí,2394071,12525,12362,798204,46121,3263283,73.36,0.38,0.38,24.46,1.41
sidra_9541_DestLixo_uf_22_ptCentr.fid-703dc0a5_19186ad2326_-528a,23,Ceará,7463240,29274,17718,1175986,85278,8771496,85.09,0.33,0.2,13.41,0.97
sidra_9541_DestLixo_uf_22_ptCentr.fid-703dc0a5_19186ad2326_-5289,24,Rio Grande do Norte,2981811,8752,6080,274655,19903,3291201,90.6,0.27,0.18,8.35,0.6
sidra_9541_DestLixo_uf_22_ptCentr.fid-703dc0a5_19186ad2326_-5288,25,Paraíba,3330778,5907,9584,574441,38877,3959587,84.12,0.15,0.24,14.51,0.98
sidra_9541_DestLixo_uf_22_ptCentr.fid-703dc0a5_19186ad2326_-5287,26,Pernambuco,7637644,12577,30997,1091929,245183,9018330,84.69,0.14,0.34,12.11,2.72
sidra_9541_DestLixo_uf_22_ptCentr.fid-703dc0a5_19186ad2326_-5286,27,Alagoas,2703079,4931,5908,356391,47036,3117345,86.71,0.16,0.19,11.43,1.51
sidra_9541_DestLixo_uf_22_ptCentr.fid-703dc0a5_19186ad2326_-5285,28,Sergipe,2015425,2099,4432,166601,13440,2201997,91.53,0.1,0.2,7.57,0.61
sidra_9541_DestLixo_uf_22_ptCentr.fid-703dc0a5_19186ad2326_-5284,29,Bahia,11662726,44647,50073,2179539,166196,14103181,82.7,0.32,0.36,15.45,1.18
sidra_9541_DestLixo_uf_22_ptCentr.fid-703dc0a5_19186ad2326_-5283,31,Minas Gerais,18898068,30872,66229,1399819,41547,20436535,92.47,0.15,0.32,6.85,0.2
sidra_9541_DestLixo_uf_22_ptCentr.fid-703dc0a5_19186ad2326_-5282,32,Espírito Santo,3532636,3153,6262,258468,7541,3808060,92.77,0.08,0.16,6.79,0.2
sidra_9541_DestLixo_uf_22_ptCentr.fid-703dc0a5_19186ad2326_-5281,33,Rio de Janeiro,15664516,3112,35042,149525,139089,15991284,97.96,0.02,0.22,0.94,0.87
sidra_9541_DestLixo_uf_22_ptCentr.fid-703dc0a5_19186ad2326_-5280,35,São Paulo,43673881,18394,68741,302952,53648,44117616,98.99,0.04,0.16,0.69,0.12
sidra_9541_DestLixo_uf_22_ptCentr.fid-703dc0a5_19186ad2326_-527f,41,Paraná,10744938,44286,58659,538249,4587,11390719,94.33,0.39,0.51,4.73,0.04
sidra_9541_DestLixo_uf_22_ptCentr.fid-703dc0a5_19186ad2326_-527e,42,Santa Catarina,7319833,29079,28899,194553,1268,7573632,96.65,0.38,0.38,2.57,0.02
sidra_9541_DestLixo_uf_22_ptCentr.fid-703dc0a5_19186ad2326_-527d,43,Rio Grande do Sul,10311969,69416,43100,382528,9710,10816723,95.33,0.64,0.4,3.54,0.09
sidra_9541_DestLixo_uf_22_ptCentr.fid-703dc0a5_19186ad2326_-527c,50,Mato Grosso do Sul,2454867,31062,16302,231052,3771,2737054,89.69,1.13,0.6,8.44,0.14
sidra_9541_DestLixo_uf_22_ptCentr.fid-703dc0a5_19186ad2326_-527b,51,Mato Grosso,3209148,50730,29639,336215,10257,3635989,88.26,1.4,0.82,9.25,0.28
sidra_9541_DestLixo_uf_22_ptCentr.fid-703dc0a5_19186ad2326_-527a,52,Goiás,6642572,18709,30931,313696,16605,7022513,94.59,0.27,0.44,4.47,0.24
sidra_9541_DestLixo_uf_22_ptCentr.fid-703dc0a5_19186ad2326_-5279,53,Distrito Federal,2760405,889,3655,20126,7736,2792811,98.84,0.03,0.13,0.72,0.28
