FID,Geocodigo,Nome,MoradDPPOColetDomicServLimpTot,MoradDPPOColetTot,MoradDPPODepCacambServLimpTot,MoradDPPOTot,PercMoradDPPOColetDomicServLimpTot,PercMoradDPPOColetTot,PercMoradDPPODepCacambServLimpTot
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1a9e,1100023,Ariquemes - RO,86646,86935,289,96152,90.11,90.41,0.3
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1a9d,1100031,Cabixi - RO,3185,3191,6,5351,59.52,59.63,0.11
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1a9c,1100049,Cacoal - RO,71431,73286,1855,86494,82.58,84.73,2.14
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1a9b,1100056,Cerejeiras - RO,13090,13636,546,15798,82.86,86.31,3.46
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1a9a,1100015,Alta Floresta D'Oeste - RO,12350,12759,409,21440,57.6,59.51,1.91
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1a99,1100064,Colorado do Oeste - RO,11903,11951,48,15663,75.99,76.3,0.31
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1a98,1100072,Corumbiara - RO,3566,3606,40,7503,47.53,48.06,0.53
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1a97,1100080,Costa Marques - RO,7507,7968,461,12526,59.93,63.61,3.68
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1a96,1100098,Espigão D'Oeste - RO,20893,21457,564,29329,71.24,73.16,1.92
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1a95,1100106,Guajará-Mirim - RO,28705,28901,196,38963,73.67,74.18,0.5
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1a94,1100114,Jaru - RO,39957,40114,157,50354,79.35,79.66,0.31
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1a93,1100122,Ji-Paraná - RO,113863,114776,913,123752,92.01,92.75,0.74
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1a92,1100130,Machadinho D'Oeste - RO,15350,16633,1283,30428,50.45,54.66,4.22
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1a90,1100148,Nova Brasilândia D'Oeste - RO,7289,7372,83,15674,46.5,47.03,0.53
